"Наименование субъекта","Населенный пункт/город/область","SO2","NOx","ЛОСНМ","CO","С","NH3","СН4","Всего","Источник  (АТ,ЖДТ)","Год"
"Центральный федеральный округ",,19.7,376.1,367.5,2822.3,6.5,9.1,15,3616.3,"АТ",2014
"Белгородская область",,0.9,18.1,16.6,124.6,0.3,0.4,0.7,161.6,"АТ",2014
"Белгородская область","Белгород",0.2,2.8,3.2,24.6,0.06,0.06,0.1,31,"АТ",2014
"Белгородская область","Алексеевка",0.03,0.5,0.6,4.3,0.01,0.01,0.02,5.4,"АТ",2014
"Белгородская область","Старый Оскол",0.09,1.6,1.9,14.3,0.03,0.04,0.1,18,"АТ",2014
"Белгородская область","Губкин",0.03,0.5,0.6,4.8,0.01,0.01,0.03,6,"АТ",2014
"Белгородская область","Шебекино",0.03,0.5,0.6,4.6,0.01,0.01,0.03,5.7,"АТ",2014
"Брянская область",,0.4,8.1,7.6,56.4,0.1,0.2,0.3,73.2,"АТ",2014
"Брянская область","Брянск",0.1,1.9,2.3,17.6,0.03,0.05,0.1,22.1,"АТ",2014
"Владимирская область",,0.6,12.9,12.1,89.7,0.2,0.3,0.5,116.4,"АТ",2014
"Воронежская область",,1.5,28.2,25.5,193.8,0.5,0.6,1,251.2,"АТ",2014
"Воронежская область","Воронеж",0.4,7.2,8.2,69.2,0.2,0.2,0.4,85.7,"АТ",2014
"Ивановская область",,0.7,12.2,10.7,82.3,0.2,0.3,0.4,106.7,"АТ",2014
"Ивановская область","Иваново",0.2,3,3.2,25.4,0.07,0.06,0.1,32,"АТ",2013
"Калужская область",,0.6,12,11,82.8,0.2,0.3,0.4,107.4,"АТ",2014
"Калужская область","Калуга",0.2,2.6,3,23.5,0.05,0.06,0.1,29.5,"АТ",2014
"Калужская область","Обнинск",0.04,0.7,0.8,6.2,0.01,0.02,0.03,7.8,"АТ",2014
"Костромская область",,0.4,6.9,6.3,47.2,0.1,0.2,0.2,61.3,"АТ",2014
"Костромская область","Кострома",0.1,1.5,1.8,13.6,0.03,0.04,0.1,17.1,"АТ",2014
"Костромская область","Волгореченск",0.003,0.1,0.1,0.6,0.001,0.002,0.003,0.7,"АТ",2014
"Курская область",,0.5,9.8,9.5,69.4,0.1,0.3,0.4,89.9,"АТ",2014
"Липецкая область",,0.8,14.8,13.3,101.3,0.3,0.3,0.5,131.3,"АТ",2014
"Липецкая область","Липецк",0.2,3.6,4.2,32.4,0.07,0.09,0.2,40.7,"АТ",2014
"Липецкая область","Елец",0.04,0.7,0.8,6.2,0.01,0.02,0.03,7.8,"АТ",2014
"Москва и МО","Москва",4.2,75.6,91.7,750.2,1.5,1.8,4.1,929.1,"АТ",2014
"Москва и МО","Московская область",4.3,85.5,79.8,593.9,1.3,2.2,3.2,770.2,"АТ",2014
"Орловская область",,0.6,11.7,10.3,79.4,0.2,0.2,0.4,103,"АТ",2014
"Орловская область","Орел",0.1,2.1,2.5,19.4,0.04,0.06,0.1,24.3,"АТ",2014
"Рязанская область",,0.8,14.7,13.4,101.1,0.3,0.4,0.5,131.2,"АТ",2014
"Рязанская область","Рязань",0.2,3.4,4,31,0.06,0.09,0.2,39,"АТ",2014
"Смоленская область",,0.5,9,8.1,61.5,0.2,0.2,0.3,79.8,"АТ",2014
"Смоленская область","Смоленск",0.1,1.8,2.1,16.1,0.04,0.04,0.1,20.2,"АТ",2014
"Смоленская область","Десногорск",0.01,0.2,0.2,1.5,0.003,0.004,0.008,1.9,"АТ",2014
"Тамбовская область",,0.6,10.7,9.9,74.1,0.2,0.3,0.4,96.1,"АТ",2014
"Тамбовская область","Тамбов",0.1,1.6,1.9,14.8,0.03,0.04,0.1,18.6,"АТ",2014
"Тамбовская область","Мичуринск",0.02,0.4,0.5,3.7,0.007,0.011,0.02,4.6,"АТ",2014
"Тамбовская область","Котовск",0.01,0.1,0.2,1.3,0.002,0.004,0.01,1.7,"АТ",2014
"Тамбовская область","Моршанск",0.01,0.2,0.3,2.1,0.004,0.006,0.01,2.6,"АТ",2014
"Тверская область",,0.7,13.7,13,96.1,0.2,0.4,0.5,124.6,"АТ",2014
"Тверская область","Тверь",0.1,2.4,3,22.9,0.04,0.07,0.1,28.7,"АТ",2013
"Тверская область","Андриаполь",0.005,0.1,0.1,0.8,0.002,0.002,0.004,1,"АТ",2013
"Тверская область","Бежецк",0.011,0.2,0.2,1.8,0.004,0.005,0.01,2.3,"АТ",2013
"Тверская область","Белый",0.004,0.1,0.1,0.5,0.001,0.001,0.003,0.6,"АТ",2013
"Тверская область","Бологое",0.011,0.2,0.3,2,0.003,0.007,0.01,2.5,"АТ",2013
"Тверская область","Весьегонск",0.005,0.1,0.1,0.8,0.002,0.002,0.004,1,"АТ",2013
"Тверская область","Вышний Волочек",0.026,0.5,0.5,4.1,0.01,0.01,0.02,5.1,"АТ",2013
"Тверская область","Жарковский",0.003,,,0.4,0.001,0.001,0.002,0.5,"АТ",2013
"Тверская область","Западная Двина",0.007,0.1,0.2,1.2,0.002,0.003,0.01,1.5,"АТ",2013
"Тверская область","Зубцов",0.005,0.1,0.1,0.8,0.001,0.003,0.005,1,"АТ",2013
"Тверская область","Калинин",0.026,0.5,0.5,4.1,0.008,0.011,0.022,5.1,"АТ",2013
"Тверская область","Калязин",0.008,0.1,0.2,1.4,0.003,0.004,0.01,1.7,"АТ",2013
"Тверская область","Кашин",0.011,0.2,0.2,1.7,0.003,0.005,0.01,2.2,"АТ",2013
"Тверская область","Кесова Гора",0.005,0.1,0.1,0.7,0.002,0.002,0.004,0.9,"АТ",2013
"Тверская область","Кимры",0.021,0.4,0.5,3.8,0.006,0.012,0.021,4.7,"АТ",2013
"Тверская область","Конаково",0.029,0.5,0.7,5,0.008,0.015,0.028,6.3,"АТ",2013
"Тверская область","Красный Холм",0.005,0.1,0.1,0.8,0.002,0.002,0.004,1,"АТ",2013
"Тверская область","Кувшиново",0.004,0.1,0.1,0.7,0.001,0.002,0.004,0.8,"АТ",2013
"Тверская область","Лесное",0.002,,,0.3,0.001,0.001,0.002,0.4,"АТ",2013
"Тверская область","Лихославль",0.008,0.1,0.2,1.3,0.003,0.004,0.01,1.7,"АТ",2013
"Тверская область","Максатиха",0.008,0.1,0.2,1.2,0.003,0.003,0.01,1.6,"АТ",2013
"Тверская область","Молоково",0.002,,,0.4,0.001,0.001,0.002,0.5,"АТ",2013
"Тверская область","Нелидово",0.01,0.2,0.2,1.6,0.003,0.004,0.01,2,"АТ",2013
"Тверская область","Оленино",0.003,0.1,0.1,0.5,0.001,0.002,0.003,0.7,"АТ",2013
"Тверская область","Осташков",0.009,0.2,0.2,1.4,0.003,0.004,0.01,1.8,"АТ",2013
"Тверская область","Пено",0.003,0.1,0.1,0.5,0.001,0.001,0.002,0.6,"АТ",2013
"Тверская область","Рамешки",0.006,0.1,0.1,1,0.002,0.003,0.01,1.2,"АТ",2013
"Тверская область","Ржев",0.02,0.4,0.5,3.4,0.006,0.011,0.02,4.3,"АТ",2013
"Тверская область","Сандово",0.004,0.1,0.1,0.5,0.001,0.001,0.003,0.6,"АТ",2013
"Тверская область","Селижарово",0.006,0.1,0.1,0.9,0.002,0.002,0.005,1.1,"АТ",2013
"Тверская область","Сонково",0.004,0.1,0.1,0.6,0.001,0.001,0.003,0.7,"АТ",2013
"Тверская область","Спирово",0.004,0.1,0.1,0.7,0.001,0.002,0.004,0.8,"АТ",2013
"Тверская область","Старица",0.005,0.1,0.1,0.9,0.002,0.003,0.01,1.2,"АТ",2013
"Тверская область","Торжок",0.023,0.4,0.5,3.8,0.007,0.011,0.02,4.7,"АТ",2013
"Тверская область","Торопец",0.007,0.1,0.1,1.1,0.002,0.003,0.01,1.4,"АТ",2013
"Тверская область","Удомля",0.012,0.2,0.3,2,0.004,0.006,0.01,2.5,"АТ",2013
"Тверская область","Фирово",0.003,0.1,0.1,0.5,0.001,0.001,0.003,0.7,"АТ",2013
"Тульская область",,1.2,21.1,18.7,143.2,0.4,0.4,0.7,185.7,"АТ",2014
"Тульская область","Тула",0.2,3.4,4.2,32,0.05,0.1,0.2,40.1,"АТ",2014
"Тульская область","Алексин",0.02,0.3,0.4,3.4,0.005,0.01,0.02,4.2,"АТ",2014
"Тульская область","Новомосковск",0.04,0.7,0.9,6.9,0.01,0.02,0.04,8.7,"АТ",2014
"Тульская область","Щекино",0.04,0.7,0.8,6.1,0.01,0.02,0.03,7.6,"АТ",2014
"Тульская область","Ефремов",0.02,0.4,0.4,3.3,0.01,0.01,0.02,4.1,"АТ",2014
"Тульская область","Узловая",0.02,0.3,0.5,3.4,0.004,0.01,0.02,4.3,"АТ",2014
"Тульская область","Суворов",0.01,0.2,0.3,2,0.004,0.01,0.01,2.5,"АТ",2014
"Ярославская область",,0.6,10.9,10.1,75.4,0.2,0.3,0.4,97.8,"АТ",2014
